tatoeba_id	text
10788168	What are you in for?
8815788	What are you on?
8737568	He was in.
10159536	Have at it.
10542564	I have no time for that.
11531961	I think it was you.
10270616	Where are you at?
11011734	You don't have to get it.
12155192	When will we be there?
12187609	You got this?
12768231	Can we make it in time?
11462663	You don't have to like me.
11607365	You said it.
11787820	Have you been to the top?
9524075	Are you through?
10104281	Can I have all the money in the world?
11610576	I think about you.
11692003	What time was that?
10320575	How are you going to get out of there?
11265754	You see it, right?
11688153	Are we a thing?
10553374	You are all the same!
9732703	Who has time for that?
11855898	You have to say it like that.
11988230	Did you make that up?
12334915	I think you know.
11619486	It's all what you make of it.
11247657	You said it, not me.
12390977	I want it that way.
11339290	Who do you take me for?
8988065	What do you think is best for you?
10092213	You got the money?
12129561	What do you do well?
11865571	Like, so what?
11019832	I don't think I was there.
11202723	Did you do the thing?
10571146	I do not know who he is.
12486930	It's in there.
12397218	Is that a need or a want?
12390978	I want it this way.
11601027	You know how I get.
12093779	Was that really your first time?
12064489	Where would you like to go now?
9373227	You made that up.
10132575	I was in the wrong.
11206803	You don't have to say it like that.
10553373	We are all the same!
10646827	Do you say that here?
12026593	What do I want out of my life?
12397219	Is this a need or a want?
11187815	This is what they don't want you to know.
12772746	Would that we had more time.
11443175	I don't want to be this way.
11451508	Why is it like that?
12424839	Are you in this to win or not?
10218903	I think I could do it this time.
12188815	Who said that and when?
11265752	You see it too, right?
10640402	I had to look it up.
12129500	What do you want out of life?
12772553	What more do you need from me?
12149056	Who do you want to help you?
9633347	I did the thing.
9711302	I don't want to think about this.
10032265	It's not who you think.
11271755	You do so much for me.
11112099	Where do I know him from?
10428258	You were right about that.
12777725	Is there more to life than what we see?
10097806	So much the better for you.
12776038	Do you think about your place in the world?
12768223	Could you help me with this?
12214575	Have you left?
11803163	I'm not here to see you.
12328053	I think I'm up.
11260216	How do I know you're who you say you are?
11462360	I don't know the right way to go about it.
12345379	I think they all know.
12346153	Who was this really for?
11585970	It's that time.
10147186	We know you did it.
8724278	What will be will be!
11264610	Do you want to start it?
10542570	They have no time for that.
9233024	You don't know if you want it.
12401896	I don't use that.
9077047	How can I be sure?
8805543	I love them and I love you.
12486964	You think it's for you, but it's really for them.
9806859	What city are you from?
12479200	I don't have time for these people.
11262905	It's all about who you know.
10542567	He has no time for that.
8609979	We got this.
12003445	I would never.
10466183	I can't get it to work.
8937237	Does that still work for you?
11988228	Didn't you make that up?
12771096	Would you have done the same?
10756415	You can have both of them.
12029130	Didn't you say that?
12773742	What more can we do to help?
12776705	Would you like to see me again?
8988053	I don't think you did.
8737569	He was in the house.
11264612	Do you want to start?
12773361	Do you think they were right after all?
10110472	I don't know what day it is.
12334981	Did you take the car in?
12773564	Could this be the end of it all?
11021340	I love people like that.
11843290	Are you getting up?
11692004	What time did you say?
12766215	You talking to me?
10112457	I need some time to think it over.
10735694	I come here all the time.
12003446	You would never.
11595274	I don't know what to do with those.
10157349	You were in on it the whole time.
9510613	Because of this, I left.
10141852	You were right about me.
10147454	What do you use this thing for?
10635950	You can't just do it!
9843780	What do you really, really want?
10795839	Is your number still the same?
12155234	You have to tell me.
11987730	Why do you need the money?
10218906	I think it would work this time.
11039979	We need to take it back.
10169061	You make the world better by being in it.
8809687	All good?
10111457	You don't own that.
8805539	This is some of your best work.
11692671	I did it, but I didn't want to.
12029161	What would you like next?
10147204	Where did you see it last?
9725105	How could I have done it?
12158714	You can do it high.
9855861	What even is time?
9711305	I don't want to think about this right now.
12367223	I thought I was over it.
10512883	I don't need to see any more.
10542568	She has no time for that.
10158506	Do you think you could help me out?
10776201	Are they also going to be there?
10199971	What will you look like when you get old?
10540727	You have the kind of mind for that.
12770991	How can we be sure?
10092432	Has this happened to you?
10054809	I didn't need to know that.
9165904	I love this world.
12093725	You don't have to do this every day.
12149057	Who do you want on your team?
9805779	What did you want to be when you were small?
10288779	Where did you say you were going?
11282592	Can you show your work?
11573836	Your order is on the way.
12187608	Can you deal with this?
12164342	I can take you over here.
9323395	I was there last year.
12766225	You make me want to be a better man.
11978834	I know just as little as you do.
10791632	How are we doing on time?
12772640	What would you say if I told you?
12772700	Did you really do your best?
11558860	We did the best we could for them.
